,created_on,sentiment,playerid,player_name
316,2016-05-03 02:26:44.216,1,40000017,Hideki Matsuyama
317,2016-05-03 11:13:17.431,1,40001361,Scott Stallings
318,2016-05-03 13:45:49.671,-1,40000015,Dustin Johnson
319,2016-05-03 14:19:20.436,-1,40000013,Justin Rose
320,2016-05-03 14:21:28.532,-1,40000008,J.B. Holmes
321,2016-05-03 14:36:34.363,-1,40001510,Johnson Wagner
322,2016-05-03 15:35:14.394,1,40000010,Adam Scott
323,2016-05-03 15:35:48.587,1,40000785,Jason Kokrak
324,2016-05-03 19:04:34.966,-1,40000003,Rickie Fowler
325,2016-05-04 17:42:28.587,1,40000236,Kevin Chappell
326,2016-05-04 18:18:09.250,-1,40000915,Peter Malnati
327,2016-05-04 18:18:41.203,-1,40000408,Derek Fathauer
328,2016-05-04 18:19:02.446,-1,40000919,Steve Marino
329,2016-05-04 18:19:18.645,-1,40001545,Steve Wheatcroft
330,2016-05-04 18:19:35.287,-1,40000763,Michael Kim
331,2016-05-04 18:19:56.404,-1,40000689,Hiroshi Iwata
332,2016-05-05 00:30:08.857,1,40000777,Colt Knost
333,2016-05-05 00:44:56.135,1,40000013,Justin Rose
334,2016-05-09 13:48:09.258,1,40000004,Jordan Spieth
335,2016-05-09 20:47:07.603,1,40000003,Rickie Fowler
336,2016-05-09 20:47:16.174,1,40000965,Rory McIlroy
337,2016-05-09 20:47:27.519,1,40000017,Hideki Matsuyama
338,2016-05-09 23:50:27.716,1,40000479,Sergio Garcia
339,2016-05-10 00:32:43.432,1,40001495,Jhonattan Vegas
340,2016-05-10 00:35:50.497,1,40000345,Luke Donald
341,2016-05-10 01:18:13.772,1,40000743,Jerry Kelly
342,2016-05-10 01:18:18.971,1,40000540,Emiliano Grillo
343,2016-05-10 01:18:23.634,1,40000430,Matthew Fitzpatrick
344,2016-05-10 01:18:31.381,1,40001373,Henrik Stenson
345,2016-05-10 01:18:38.284,1,40000867,David Lingmerth
346,2016-05-10 01:19:18.839,1,40000013,Justin Rose
347,2016-05-10 01:19:26.236,1,40000778,Russell Knox
348,2016-05-10 02:02:03.053,-1,40000001,Bubba Watson
349,2016-05-10 02:05:03.884,-1,40000015,Dustin Johnson
350,2016-05-10 02:06:04.007,1,40000527,Branden Grace
351,2016-05-10 02:06:15.027,1,40000012,Zach Johnson
352,2016-05-10 02:18:35.829,1,40000011,Chris Kirk
353,2016-05-10 14:26:01.173,-1,40000516,Andres Gonzales
354,2016-05-10 14:26:27.067,-1,40001160,Scott Pinckney
355,2016-05-10 14:26:40.730,-1,40000617,J.J. Henry
356,2016-05-10 14:27:01.267,-1,40001097,Carlos Ortiz
357,2016-05-10 14:27:44.299,-1,40001405,Daniel Summerhays
358,2016-05-10 14:27:57.881,-1,40000802,Martin Laird
359,2016-05-10 14:47:55.903,-1,40000991,Phil Mickelson
360,2016-05-10 14:48:25.175,-1,40001343,Brandt Snedeker
361,2016-05-10 14:48:38.498,-1,40000009,Jimmy Walker
362,2016-05-10 14:48:51.751,-1,40000115,Daniel Berger
363,2016-05-10 14:59:02.448,-1,40000001,Bubba Watson
364,2016-05-10 15:00:50.219,1,40001092,Louis Oosthuizen
365,2016-05-10 19:56:44.650,-1,40001434,Justin Thomas
366,2016-05-10 19:58:19.122,1,40000540,Emiliano Grillo
367,2016-05-10 20:18:12.930,-1,40000466,Jim Furyk
368,2016-05-10 20:18:46.386,1,40000842,Marc Leishman
369,2016-05-10 20:19:15.764,1,40000201,Rafael Cabrera Bello
371,2016-05-10 20:20:39.318,1,40001044,Kevin Na
372,2016-05-10 20:20:57.236,-1,40000965,Rory McIlroy
373,2016-05-10 20:25:56.467,1,40001373,Henrik Stenson
374,2016-05-10 20:37:59.709,1,40000479,Sergio Garcia
375,2016-05-10 20:46:42.514,1,40000764,Si Woo Kim
376,2016-05-11 13:27:31.165,1,40001011,Edoardo Molinari
377,2016-05-11 14:55:20.530,-1,40000006,Paul Casey
378,2016-05-11 14:56:20.153,-1,40000358,Jason Dufner
379,2016-05-11 14:56:24.941,-1,40000770,Kevin Kisner
380,2016-05-11 14:56:29.686,-1,40000890,Shane Lowry
381,2016-05-11 14:56:34.583,-1,40000954,Graeme McDowell
382,2016-05-11 14:56:39.128,-1,40001010,Bryce Molder
383,2016-05-11 14:56:45.028,-1,40001016,Ryan Moore
384,2016-05-11 14:56:49.284,-1,40001156,Scott Piercy
385,2016-05-11 14:56:53.690,-1,40001343,Brandt Snedeker
386,2016-05-11 14:56:58.234,-1,40001434,Justin Thomas
387,2016-05-11 14:57:02.987,-1,40001532,Boo Weekley
388,2016-05-11 14:57:08.066,-1,40001560,Bernd Wiesberger
389,2016-05-11 15:24:36.754,1,40001490,Harold Varner
390,2016-05-11 16:55:39.454,-1,40000770,Kevin Kisner
391,2016-05-16 11:05:18.906,1,40000003,Rickie Fowler
392,2016-05-16 13:30:23.943,1,40001107,Ryan Palmer
393,2016-05-16 13:30:28.953,1,40000358,Jason Dufner
394,2016-05-16 13:30:34.264,1,40000325,Graham DeLaet
395,2016-05-16 13:30:44.653,1,40000015,Dustin Johnson
396,2016-05-16 13:30:49.233,1,40000014,Matt Kuchar
397,2016-05-16 14:03:28.945,-1,40000152,Keegan Bradley
398,2016-05-16 15:15:08.747,1,40000842,Marc Leishman
399,2016-05-16 15:32:18.676,1,40000012,Zach Johnson
400,2016-05-16 15:33:51.973,-1,40001190,Michael Putnam
401,2016-05-16 17:16:12.226,1,40000007,Brooks Koepka
402,2016-05-16 17:22:06.326,1,40000881,Andrew Loupe
403,2016-05-16 17:22:16.538,1,40001290,Charl Schwartzel
404,2016-05-16 17:22:22.973,1,40001092,Louis Oosthuizen
405,2016-05-17 12:13:37.473,-1,40001343,Brandt Snedeker
406,2016-05-17 12:14:01.029,-1,40001092,Louis Oosthuizen
407,2016-05-17 12:14:34.305,-1,40000316,Brendon De Jonge
408,2016-05-17 12:14:51.164,-1,40000846,Justin Leonard
409,2016-05-17 12:15:05.882,-1,40001532,Boo Weekley
410,2016-05-17 12:15:36.801,1,40000632,Charley Hoffman
411,2016-05-17 12:58:28.005,-1,40000002,Patrick Reed
412,2016-05-17 12:58:40.768,-1,40001137,Pat Perez
413,2016-05-17 12:58:52.677,-1,40000229,Roberto Castro
414,2016-05-17 13:20:16.273,1,40001564,Tim Wilkinson
415,2016-05-17 13:45:56.531,1,40000325,Graham DeLaet
416,2016-05-17 13:49:49.769,1,40000015,Dustin Johnson
417,2016-05-17 21:31:49.389,1,40000833,Danny Lee
418,2016-05-18 02:32:11.152,1,40001620,Will Zalatoris
419,2016-05-18 19:17:44.297,1,40001564,Tim Wilkinson
420,2016-05-24 11:22:49.042,1,40001107,Ryan Palmer
421,2016-05-24 14:49:17.390,1,40000777,Colt Knost
422,2016-05-24 15:31:39.105,1,40000777,Colt Knost
423,2016-05-24 15:31:46.167,1,40000014,Matt Kuchar
424,2016-05-24 15:32:00.533,1,40000004,Jordan Spieth
425,2016-05-24 15:32:06.965,1,40001532,Boo Weekley
426,2016-05-24 15:32:13.286,1,40000236,Kevin Chappell
427,2016-05-24 15:32:18.116,1,40000358,Jason Dufner
428,2016-05-24 15:32:27.604,1,40001290,Charl Schwartzel
429,2016-05-24 15:33:00.777,1,40000011,Chris Kirk
430,2016-05-24 15:33:05.347,1,40000833,Danny Lee
431,2016-05-24 15:33:11.387,1,40001010,Bryce Molder
432,2016-05-24 15:33:22.018,1,40000322,Bryson DeChambeau
433,2016-05-24 15:33:53.194,1,40000632,Charley Hoffman
434,2016-05-24 15:34:02.708,1,40000012,Zach Johnson
